__sheet__,__page__,#,מה נדרש ממך,בחירה,מילוי,הערות אייל,סטטוס סעיף,הכרעה נדרשת מ,סיווג,הסעיף,סקשן אצל אייל,הכשל,התוכן הדרוש,התיקון,נתיב קוד,קישור,אפשרויות לבחירה,הערות סוכן,הערות נימרוד,תאריך הכרעה
עמוד · שאלות נפוצות (FAQ),R1-25,FAQ-05,"קישור מאמר ההריון בבלוג לא קיים. לתת כתובת, או להשאיר בלי קישור?",,,,בוצע,—,ברור,קישור מאמר הריון ב-FAQ,FAQ FINAL.md,"/blog/pregnancy-didgeridoo הוא 404. הבייטים מ-FAQ FINAL.md, לא המצאת צוות. אותו href כמו LSN-09 ב-/lessons/.","URL חי, או «להוריד את הקישור». הטקסט עצמו נשאר כבמסמך.",לפי המילוי או הבחירה. לא ממירים בשקט. לא מתקנים פעמיים באתר — אותו href כמו LSN-09.,ea-faq-seed.json (לא נפתח בגל הזה),http://eyalamit-co-il-2026.s887.upress.link/faq/,יש כתובת — הדביקו בעמודת מילוי. להוריד את הקישור — נשאר הטקסט בלי href.,גל 9 21.8.26. URL הריון FAQ/נשים כפי שבאקסל (לא איחוד עם שיעורים). Composer PASS VERDICT-S006-W9-FAQ-SNORING.,,
עמוד · שאלות נפוצות (FAQ),R1-25,FAQ-06,"במסמך כתוב /muse וזה 404. הקנון החי הוא /books/. לאשר המרה, או לתת כתובת אחרת?",,,,בוצע,—,ברור,קישור /muse ב-FAQ,FAQ FINAL.md,/muse הוא 404. במסמך «מוזה הוצאה לאור». הקנון החי הוא /books/.,"לאשר המרה ל-/books/, או URL אחר במילוי, או להוריד את הקישור.",לפי הבחירה. לא ממירים בשקט (תקדים KSH-05 /about/).,ea-faq-seed.json (לא נפתח בגל הזה),http://eyalamit-co-il-2026.s887.upress.link/faq/,להמיר ל-/books/. כתובת אחרת — הדביקו במילוי. להוריד את הקישור.,גל 9 21.8.26. /muse → /books/ לפי עמודה E באקסל. תשובת רכישה הוחלפה. Composer PASS VERDICT-S006-W9-FAQ-SNORING.,,
עמוד · שאלות נפוצות (FAQ),R1-25,FAQ-07,"בשאלות נפוצות קישור ההכשרות מוביל לכתובת ישנה שאינה קיימת. ליצור עמוד בסיסי ולחבר אליו, או להסתיר זמנית את השאלה עד שיהיה תוכן?",,,,ממתין לאייל,אייל,לא ברור,קישור הכשרת מטפלים ב-FAQ,FAQ FINAL.md,"/cbDidg-therapy-training הוא 404. /learning/therapist-training/ קיים אבל הוקפא (PLACEHOLDER, R1-07) — לא מצביעים לשם בשקט.","URL חי, או «בלי קישור עד שיהיה עמוד».",לפי הבחירה. לא ממפים לעמוד המוקפא.,ea-faq-seed.json (לא נפתח בגל הזה),http://eyalamit-co-il-2026.s887.upress.link/faq/,ליצור עמוד בסיסי ולחבר · להסתיר זמנית את השאלה,"נימרוד 22.8: אם העמוד בסבב 2/3 — לבנות עכשיו; אם לא — להעלות לאייל. בדיקה: הכשרות = R1-07 מוקפא בלי חומר, לא בסבב 2 ולא בסבב 3. לכן הועבר לאייל.",,
"עמוד · דיג׳רידו, נחירות ודום נש",R1-28,SNR-01,בצילום המסך מאתר מכבי אין קובץ. בחרי מה לעשות.,,,,בוצע,—,ברור,צילום מסך מכבי,SECTION 05 · IMAGE שורות 147–150,"המסמך קורא לקובץ שסופק מכבי.jpg (ALT שורה 149, CAPTION שורה 150). התיקייה ריקה. החי מציג כרטיס ממתינה + H2/lead שהומצאו. WP-EI-03 ON_HOLD לא נפתח.","קובץ או קישור במילוי, או «בלי תמונה».","שיבוץ הצילום עם ALT/CAPTION מהמסמך, או השארת הסקשן בלי תמונה (הטקסט של 05 נשאר). לא ממציאים קובץ.",snoring-sleep-apnea-defaults.php S05b gallery,http://eyalamit-co-il-2026.s887.upress.link/snoring-sleep-apnea/,"יש צילום — הדביקו קובץ או קישור בעמודת מילוי (יישבץ ליד הטקסט על מכבי). בלי תמונה — הטקסט והקישור למכבי נשארים, כרטיס ההמתנה יורד.",גל 9 21.8.26. JPG מכבי מתיקיית 19.8 ב-assets/images/chapters/snoring/maccabi.jpg. Composer PASS VERDICT-S006-W9-FAQ-SNORING.,,
"עמוד · דיג׳רידו, נחירות ודום נש",R1-28,SNR-02,בסיפור יוני חסרה תמונת ההתכתבות. בחרי מה לעשות.,,,,בוצע,—,ברור,תמונת יוני,SECTION 10 · IMAGE שורות 439–442,"המסמך קורא לקובץ שסופק יוני.jpg, עם חובת טשטוש פרט מזהה. התיקייה ריקה. החי מציג כרטיס ממתינה. הסיפור עצמו = SNR-03.","קובץ או קישור במילוי (עם טשטוש), או «בלי תמונה».","שיבוץ התמונה לפי ALT שורה 441, או בלי תמונה. לא ממציאים קובץ ולא מפרסמים פרט מזהה.",snoring-sleep-apnea-defaults.php S10b gallery,http://eyalamit-co-il-2026.s887.upress.link/snoring-sleep-apnea/,"יש תמונה — הדביקו קובץ או קישור בעמודת מילוי (חובה לטשטש פרטים מזהים). בלי תמונה — הסיפור נשאר לפי SNR-03, כרטיס ההמתנה יורד.",גל 9 21.8.26. JPG וואטסאפ יוני (שם כבר מטושטש בקובץ) ב-yoni-whatsapp.jpg. Composer PASS VERDICT-S006-W9-FAQ-SNORING.,,
"עמוד · דיג׳רידו, נחירות ודום נש",R1-28,SNR-03,סיפור יוני מוצג עם באנר ממתין לאישור. בחרי מה לעשות.,,,,בוצע,—,ברור,אישור פרסום סיפור יוני,SECTION 10 שורות 384–437,"גוף הסיפור במסמך ומוצג חי. באנר «ממתין לאישור» + אזכור WP-EI-03 הומצאו בצוות. מנדט: אישור ניסוח רפואי = המתנה לאייל, לא מחיקה שקטה.",לאשר פרסום / לא לפרסם עדיין / להשאיר את הבאנר.,"לפי הבחירה. לאשר → באנר יורד, הסיפור נשאר ככתבו. לא לפרסם → הסיפור לא מוצג (אין תוכן מאושר = אין רכיב), הרשומה נשארת בטרקר. באנר → מצב חי נשאר.",snoring-sleep-apnea-defaults.php S10 prose,http://eyalamit-co-il-2026.s887.upress.link/snoring-sleep-apnea/,"לאשר פרסום — הסיפור נשאר, באנר ההמתנה יורד. לא לפרסם עדיין — הסיפור יורד מהעמוד עד אישור. להשאיר את באנר ההמתנה כמו עכשיו.",גל 9 21.8.26. באנר ממתין לאישור ירד. יוני=בדוי לפי אייל. Composer PASS VERDICT-S006-W9-FAQ-SNORING.,,
"עמוד · דיג׳רידו, נחירות ודום נש",R1-28,SNR-04,ברשימת המקורות יש שורה שמחכה להשלמה. הדביקו קישור או אמרו בלי מקור נוסף.,,,,בוצע,—,ברור,מקור רפואי שלישי,SECTION 17 שורה 671,"השורה «מקור רפואי מוסמך נוסף… להשלמה לפני פרסום» מוצגת חי. אין URL. שני המקורות הראשונים (BMJ, מכבי) כן במסמך.","קישור למקור, או «בלי מקור שלישי».","שיבוץ הקישור, או הורדת השורה (אין תוכן = אין רכיב). BMJ+מכבי נשארים.",snoring-sleep-apnea-defaults.php S17,http://eyalamit-co-il-2026.s887.upress.link/snoring-sleep-apnea/,יש מקור — הדביקו קישור בעמודת מילוי. בלי מקור נוסף — נשארים רק שני הקישורים שכבר במסמך (BMJ ומכבי).,גל 9 21.8.26. תא ריק באקסל 19.8 = אין הערות = אין מקור שלישי. BMJ+מכבי נשארים. Composer PASS VERDICT-S006-W9-FAQ-SNORING.,,
"עמוד · דיג׳רידו, נחירות ודום נש",R1-28,SNR-05,—,,,,בוצע,—,ברור,הסרת כרום צוות + H2 כפול + שורת TODO במקורות,SECTION 01–17 «התוכן» · S02 שורות 40–50 · S14 שורות 578–611 · S17 שורות 669–670,תגי chap בכל הסקשנים; H2 מומצא «מה יש בעמוד הזה»; H2+lead מומצאים על כרטיס מכבי; H2 כפול ב-CTA הסופי; שורת «להשלמה לפני פרסום» מוצגת כמקור.,גוף המסמך ככתבו (כבר בחי). בלי chap. TOC = רשימת העוגנים בלבד. CTA סופי = H2 אחד + גוף + כפתור ל-/contact. מקורות = שני הקישורים במסמך. SECTION 18 לא עולה.,"הסרת הכרום ב-snoring-sleep-apnea-defaults.php. לא למחוק סיפור יוני, באנר האישור, או שני כרטיסי ההמתנה (SNR-01/02/03). לא faqblock / block-faq-list.php. Provenance לנתיב הדרייב.",snoring-sleep-apnea-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/snoring-sleep-apnea/,,פאזה א׳ 18.8.26. אין סקירה — md הוא הרצוי. גוף 01–17 כבר מילה-במילה. FAQ כבר 6 מהמסמך. WP-EI-03 לא נפתח. ממתין ל-GO BUILD.,,
עמוד · קורסים — סקולר - חיצוני,R1-29,CRS-01,—,,,,הוקפא,—,לא ברור,פריט תפריט «קורסים» בלי יעד ובלי חבילת אייל,—,"אין תיקיית קורסים ב-content 13.8.26 (אומת 18.8.26). החי בתפריט מצביע ל-#. לא ממציאים URL. /learning/courses-external/ הוא R2-007 בסבב 2, לא יעד שהומצא לסבב 1.",אין. לא ממציאים יעד תפריט ולא עותק קורסים.,אין בנייה. השורה מוקפאת עד שיהיה מקור מצוטט מאייל או החלטת ניווט כתובה.,פריט תפריט (href=#),—,—,WAIT-WAVE 18.8.26. סקואופ WAIT-WAVE-2026-08-18. אין חבילה בדרייב. תפריט נשאר #.,,
עמוד · מוקש דהימן — על השם,R2-002,RDR-01,—,,,,בוצע,—,ברור,301 חדש ליעד סבב 1,אין סקירה — הפניה תפעולית,המקור חי 200 (או 301 לשרשרת ישנה). נימרוד 24.8 נעל 301 אל /eyal-amit/mokesh-dahiman/. 301 אל מוקש לזכרו. לא לגעת בגוף היעד.,301 מ-/about/moksha/ אל /eyal-amit/mokesh-dahiman/. קובץ mu-plugin יחיד לגל.,שורה במפת ea-s006-r2-w1-legacy-301.php. לא למזג טקסט. לא לגעת ב-defaults של היעד.,ea-s006-r2-w1-legacy-301.php,http://eyalamit-co-il-2026.s887.upress.link/about/moksha/,,R2-002 · מוקש דהימן — על השם · יעד נעול /eyal-amit/mokesh-dahiman/ · מפה 25.8.2026,,
עמוד · קורסים — בקרוב,R2-004,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. ה-301 החי אל קורסים חיצוניים (placeholder). לא ממציאים URL.,HEAD+GET: 301 מ-/courses-soon/ אל /learning/courses-external/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,ea-m2-site-tree-lock-sync-once.php,http://eyalamit-co-il-2026.s887.upress.link/courses-soon/,,R2-004 · קורסים — בקרוב · יעד נעול /learning/courses-external/ · מפה 25.8.2026,,
עמוד · R2-005,R2-005,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל עמוד השיטה שהוגש בסבב 1.,HEAD+GET: 301 מ-/hashita/ אל /method/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,ea-m2-site-tree-lock-sync-once.php,http://eyalamit-co-il-2026.s887.upress.link/hashita/,,R2-005 · השיטה · יעד נעול /method/ · מפה 25.8.2026,,
עמוד · מוזה הוצאה לאור,R2-008,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל שער הספרים.,HEAD+GET: 301 מ-/muzeh/ אל /books/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,functions.php ea_eyalamit_muzza_to_books_redirect,http://eyalamit-co-il-2026.s887.upress.link/muzeh/,,R2-008 · מוזה הוצאה לאור · יעד נעול /books/ · מפה 25.8.2026,,
עמוד · R2-009,R2-009,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל כושי בלאנטיס.,HEAD+GET: 301 מ-/muzeh/kushi-blantis/ אל /books/kushi-blantis/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,functions.php ea_eyalamit_muzza_to_books_redirect,http://eyalamit-co-il-2026.s887.upress.link/muzeh/kushi-blantis/,,R2-009 · כושי בלאנטיס · יעד נעול /books/kushi-blantis/ · מפה 25.8.2026,,
עמוד · R2-010,R2-010,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל צבע בכחול.,HEAD+GET: 301 מ-/muzeh/tsva-bechol-ve-zorek-layam/ אל /books/tsva-bekahol/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,functions.php ea_eyalamit_muzza_to_books_redirect,http://eyalamit-co-il-2026.s887.upress.link/muzeh/tsva-bechol-ve-zorek-layam/,,R2-010 · צבע בכחול וזרוק לים · יעד נעול /books/tsva-bekahol/ · מפה 25.8.2026,,
עמוד · R2-011,R2-011,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל וכתבת.,HEAD+GET: 301 מ-/muzeh/vekatavt/ אל /books/vekatavta/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,functions.php ea_eyalamit_muzza_to_books_redirect,http://eyalamit-co-il-2026.s887.upress.link/muzeh/vekatavt/,,R2-011 · וכתבת · יעד נעול /books/vekatavta/ · מפה 25.8.2026,,
עמוד · R2-012,R2-012,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל שער הספרים (כתיב ישן).,HEAD+GET: 301 מ-/muzza/ אל /books/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,functions.php ea_eyalamit_muzza_to_books_redirect,http://eyalamit-co-il-2026.s887.upress.link/muzza/,,R2-012 · מוזה הוצאה לאור · יעד נעול /books/ · מפה 25.8.2026,,
עמוד · R2-013,R2-013,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל צבע בכחול (כתיב ישן).,HEAD+GET: 301 מ-/muzza/tsva-bechol-ve-zorek-layam/ אל /books/tsva-bekahol/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,functions.php ea_eyalamit_muzza_to_books_redirect,http://eyalamit-co-il-2026.s887.upress.link/muzza/tsva-bechol-ve-zorek-layam/,,R2-013 · צבע בכחול וזרוק לים · יעד נעול /books/tsva-bekahol/ · מפה 25.8.2026,,
עמוד · R2-014,R2-014,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל וכתבת (כתיב ישן).,HEAD+GET: 301 מ-/muzza/vekatavt/ אל /books/vekatavta/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,functions.php ea_eyalamit_muzza_to_books_redirect,http://eyalamit-co-il-2026.s887.upress.link/muzza/vekatavt/,,R2-014 · וכתבת · יעד נעול /books/vekatavta/ · מפה 25.8.2026,,
עמוד · שיעורי דיג'רידו - נגינה,R2-018,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל שיעורי דיג'רידו.,HEAD+GET: 301 מ-/services/didgeridoo-lessons/ אל /lessons/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,ea-m2-site-tree-lock-sync-once.php,http://eyalamit-co-il-2026.s887.upress.link/services/didgeridoo-lessons/,,R2-018 · שיעורי דיג'רידו / נגינה · יעד נעול /lessons/ · מפה 25.8.2026,,
עמוד · טיפול בדיג'רידו - נשימה,R2-019,RDR-01,—,,,,בוצע,—,ברור,אימות יעד 301,אין סקירה — הפניה תפעולית,שורת טרקר: אימות יעד 301 בלבד. אימות 301 אל טיפול בדיג'רידו.,HEAD+GET: 301 מ-/services/didgeridoo-treatment-breath/ אל /treatment/ ואז 200. אפס PHP.,תיעוד יעד בטרקר. לא לגעת בגוף היעד.,ea-m2-site-tree-lock-sync-once.php,http://eyalamit-co-il-2026.s887.upress.link/services/didgeridoo-treatment-breath/,,R2-019 · טיפול בדיג'רידו / נשימה · יעד נעול /treatment/ · מפה 25.8.2026,,
עמוד · כלים בעבודת יד ואביזרים,R2-020,RDR-01,—,,,,בוצע,—,ברור,301 חדש ליעד סבב 1,אין סקירה — הפניה תפעולית,המקור חי 200 (או 301 לשרשרת ישנה). נימרוד 24.8 נעל 301 אל /didgeridoos/. סגירת שרשרת: יעד ישיר לכלים למכירה במקום hop דרך עמוד הכלים הישן.,301 מ-/services/handmade-instruments/ אל /didgeridoos/. קובץ mu-plugin יחיד לגל.,שורה במפת ea-s006-r2-w1-legacy-301.php. לא למזג טקסט. לא לגעת ב-defaults של היעד.,ea-s006-r2-w1-legacy-301.php,http://eyalamit-co-il-2026.s887.upress.link/services/handmade-instruments/,,R2-020 · כלים בעבודת יד ואביזרים · יעד נעול /didgeridoos/ · מפה 25.8.2026,,
עמוד · כלים ואביזרים,R2-024,RDR-01,—,,,,בוצע,—,ברור,301 חדש ליעד סבב 1,אין סקירה — הפניה תפעולית,המקור חי 200 (או 301 לשרשרת ישנה). נימרוד 24.8 נעל 301 אל /shop/. 301 לשער החנות. לא לגעת בגוף /shop/.,301 מ-/tools-and-accessories/ אל /shop/. קובץ mu-plugin יחיד לגל.,שורה במפת ea-s006-r2-w1-legacy-301.php. לא למזג טקסט. לא לגעת ב-defaults של היעד.,ea-s006-r2-w1-legacy-301.php,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/,,R2-024 · כלים ואביזרים · יעד נעול /shop/ · מפה 25.8.2026,,
עמוד · R2-025,R2-025,RDR-01,—,,,,בוצע,—,ברור,301 חדש ליעד סבב 1,אין סקירה — הפניה תפעולית,המקור חי 200 (או 301 לשרשרת ישנה). נימרוד 24.8 נעל 301 אל /didgeridoos/. 301 לכלים למכירה. לא לגעת בגוף /didgeridoos/.,301 מ-/tools-and-accessories/instruments/ אל /didgeridoos/. קובץ mu-plugin יחיד לגל.,שורה במפת ea-s006-r2-w1-legacy-301.php. לא למזג טקסט. לא לגעת ב-defaults של היעד.,ea-s006-r2-w1-legacy-301.php,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/instruments/,,R2-025 · כלים בעבודת יד ואביזרים · יעד נעול /didgeridoos/ · מפה 25.8.2026,,
עמוד · תיקון וחידוש כלים,R2-026,RDR-01,—,,,,בוצע,—,ברור,301 חדש ליעד סבב 1,אין סקירה — הפניה תפעולית,המקור חי 200 (או 301 לשרשרת ישנה). נימרוד 24.8 נעל 301 אל /repair/. 301 לתיקון דיג'רידו. לא לגעת בגוף /repair/.,301 מ-/tools-and-accessories/repair/ אל /repair/. קובץ mu-plugin יחיד לגל.,שורה במפת ea-s006-r2-w1-legacy-301.php. לא למזג טקסט. לא לגעת ב-defaults של היעד.,ea-s006-r2-w1-legacy-301.php,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/repair/,,R2-026 · תיקון וחידוש כלים · יעד נעול /repair/ · מפה 25.8.2026,,
עמוד · QR,R2-081,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/,,R2-081 · QR · מודפס https://www.eyalamit.co.il/qr/,,
עמוד · והקדמת – qr1,R2-082,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr1/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr1/,,R2-082 · והקדמת – qr1 · מודפס https://www.eyalamit.co.il/qr/qr1/,,
עמוד · qr10 – וואט איז דאט-,R2-083,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr10/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr10/,,R2-083 · qr10 – וואט איז דאט? · מודפס https://www.eyalamit.co.il/qr/qr10/,,
עמוד · qr11 – חורשט זבזי,R2-084,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr11/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr11/,,R2-084 · qr11 – חורשט זבזי · מודפס https://www.eyalamit.co.il/qr/qr11/,,
עמוד · qr12 – אינדיאנה ג'ונס וה,R2-085,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr12/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr12/,,R2-085 · qr12 – אינדיאנה ג'ונס והמכרה הארור · מודפס https://www.eyalamit.co.il/qr/qr12/,,
עמוד · qr13 – ואהבתָ,R2-086,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr13/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr13/,,R2-086 · qr13 – ואהבתָ · מודפס https://www.eyalamit.co.il/qr/qr13/,,
עמוד · qr14 – גורילות בערפל האמ,R2-087,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr14/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr14/,,R2-087 · qr14 – גורילות בערפל האמזונס · מודפס https://www.eyalamit.co.il/qr/qr14/,,
עמוד · qr15 – היקיקומורי,R2-088,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr15/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr15/,,R2-088 · qr15 – היקיקומורי · מודפס https://www.eyalamit.co.il/qr/qr15/,,
עמוד · qr16 – דם על הידיים,R2-089,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr16/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr16/,,R2-089 · qr16 – דם על הידיים · מודפס https://www.eyalamit.co.il/qr/qr16/,,
עמוד · qr17 – יוגי לודג',R2-090,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr17/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr17/,,R2-090 · qr17 – יוגי לודג' · מודפס https://www.eyalamit.co.il/qr/qr17/,,
עמוד · qr18 – אחד לשלושה טריליו,R2-091,QR-01,—,,,,בוצע,—,ברור,כתובת מודפסת נוחתת + העתקה מהישן בלי ניסוח,אין סקירה — QR ארכיון חי,סבב 2 גל 2: להעלות מה שיש בכתובת המודפסת. אסור 301 ששובר ספר.,אותו path /qr/qr18/ ב-200. בייטים מהאתר הישן אם חסר. בלי ניסוח.,אימות נחיתה. העתקה מילה-במילה רק אם הסטייג'ינג ריק והישן מלא. generated QR data — לא ביד.,ea-w2-07-qr-content-data.php (generated) · QR-URL-POLICY.md,http://eyalamit-co-il-2026.s887.upress.link/qr/qr18/,,R2-091 · qr18 – אחד לשלושה טריליון · מודפס https://www.eyalamit.co.il/qr/qr18/,,
